video_id,time_bin,time_bin_start,time_bin_end,individual_id,behavior,count_frames,total_duration_sec,percent_time,mean_confidence
IMG_1561,420-450 sec,420.0,450.0,meerkat_296,exploratory,5,1.6666666666666667,5.56,0.7
IMG_1561,420-450 sec,420.0,450.0,meerkat_296,inactive,50,16.666666666666668,55.56,0.75
IMG_1561,420-450 sec,420.0,450.0,meerkat_304,inactive,3,1.0,3.33,0.75
IMG_1561,420-450 sec,420.0,450.0,meerkat_305,inactive,13,4.333333333333333,14.44,0.75
IMG_1561,450-480 sec,450.0,480.0,focal_group,out_of_view,53,17.666666666666668,58.89,1.0
IMG_1561,450-480 sec,450.0,480.0,meerkat_0,active_movement,2,0.6666666666666666,2.22,0.8
IMG_1561,450-480 sec,450.0,480.0,meerkat_0,exploratory,3,1.0,3.33,0.6999999999999998
IMG_1561,450-480 sec,450.0,480.0,meerkat_0,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,450-480 sec,450.0,480.0,meerkat_0,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,450-480 sec,450.0,480.0,meerkat_1,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,450-480 sec,450.0,480.0,meerkat_311,inactive,34,11.333333333333334,37.78,0.75
IMG_1561,450-480 sec,450.0,480.0,meerkat_312,exploratory,4,1.3333333333333333,4.44,0.7
IMG_1561,450-480 sec,450.0,480.0,meerkat_312,inactive,2,0.6666666666666666,2.22,0.75
IMG_1561,450-480 sec,450.0,480.0,meerkat_313,inactive,28,9.333333333333334,31.11,0.75
IMG_1561,450-480 sec,450.0,480.0,meerkat_313,social_contact,2,0.6666666666666666,2.22,0.7
IMG_1561,450-480 sec,450.0,480.0,meerkat_325,exploratory,1,0.3333333333333333,1.11,0.7
IMG_1561,450-480 sec,450.0,480.0,meerkat_325,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,450-480 sec,450.0,480.0,meerkat_325,social_contact,2,0.6666666666666666,2.22,0.7
IMG_1561,480-510 sec,480.0,510.0,meerkat_311,inactive,93,31.0,103.33,0.75
IMG_1561,480-510 sec,480.0,510.0,meerkat_313,inactive,46,15.333333333333334,51.11,0.75
IMG_1561,480-510 sec,480.0,510.0,meerkat_313,social_contact,47,15.666666666666666,52.22,0.7
IMG_1561,480-510 sec,480.0,510.0,meerkat_340,social_contact,13,4.333333333333333,14.44,0.7
IMG_1561,480-510 sec,480.0,510.0,meerkat_357,social_contact,34,11.333333333333334,37.78,0.7
IMG_1561,510-540 sec,510.0,540.0,meerkat_311,inactive,65,21.666666666666668,72.22,0.75
IMG_1561,510-540 sec,510.0,540.0,meerkat_313,inactive,24,8.0,26.67,0.75
IMG_1561,510-540 sec,510.0,540.0,meerkat_313,social_contact,41,13.666666666666666,45.56,0.7
IMG_1561,510-540 sec,510.0,540.0,meerkat_357,social_contact,41,13.666666666666666,45.56,0.7
